loss,recall,accuracy,timestamp,checkpoint_dir_name,done,training_iteration,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,experiment_tag,config/hidden_size,config/dropout,config/output_size
0.1055220288608935,0.9516257391686894,0.9676567055393586,1737902617,,True,1,2025-01-26_15-43-37,2014.7380900382996,2014.7380900382996,2937,Mac.home,127.0.0.1,2014.7380900382996,1,"1_dropout=0.1069,hidden_size=71,output_size=5",71,0.10687297298020348,5
0.231519223226142,0.9454189189298806,0.9196428571428571,1737902610,,True,1,2025-01-26_15-43-30,2005.3219430446625,2005.3219430446625,2945,Mac.home,127.0.0.1,2005.3219430446625,1,"2_dropout=0.1942,hidden_size=66,output_size=5",66,0.19417891122967376,5
0.12192136147290294,0.9520924589332082,0.9645590379008746,1737907757,,True,1,2025-01-26_17-09-17,7149.887452840805,7149.887452840805,2948,Mac.home,127.0.0.1,7149.887452840805,1,"3_dropout=0.1022,hidden_size=207,output_size=5",207,0.10215947388058436,5
0.07460517587418397,0.9497730821128291,0.9825072886297376,1737911721,,True,1,2025-01-26_18-15-21,11111.583109140396,11111.583109140396,2953,Mac.home,127.0.0.1,11111.583109140396,1,"4_dropout=0.0476,hidden_size=240,output_size=5",240,0.04763937013192901,5
0.08251889808607117,0.9585400955802867,0.9774963556851312,1737906444,,True,1,2025-01-26_16-47-24,3826.01274394989,3826.01274394989,5484,Mac.home,127.0.0.1,3826.01274394989,1,"5_dropout=0.1683,hidden_size=117,output_size=5",117,0.16831557460370805,5
0.07234990850706403,0.9434752931910849,0.9815962099125365,1737907466,,True,1,2025-01-26_17-04-26,4838.223630189896,4838.223630189896,5493,Mac.home,127.0.0.1,4838.223630189896,1,"6_dropout=0.0645,hidden_size=147,output_size=5",147,0.06452831262789678,5
0.08504883402553944,0.9619594815551045,0.9733965014577259,1737908245,,True,1,2025-01-26_17-17-25,1794.105654001236,1794.105654001236,10107,Mac.home,127.0.0.1,1794.105654001236,1,"7_dropout=0.1971,hidden_size=58,output_size=5",58,0.19712324714763693,5
0.08314882434163658,0.9621576087016054,0.9763119533527697,1737912202,,True,1,2025-01-26_18-23-22,4724.695899963379,4724.695899963379,11379,Mac.home,127.0.0.1,4724.695899963379,1,"8_dropout=0.1746,hidden_size=136,output_size=5",136,0.17458990488612944,5
0.10002753997826405,0.955321874795334,0.9665634110787172,1737909285,,True,1,2025-01-26_17-34-45,1521.2316689491272,1521.2316689491272,11719,Mac.home,127.0.0.1,1521.2316689491272,1,"9_dropout=0.0650,hidden_size=41,output_size=5",41,0.06502080477779548,5
0.13763908303475805,0.9485109268311288,0.9559948979591837,1737912887,,True,1,2025-01-26_18-34-47,4635.729474067688,4635.729474067688,12276,Mac.home,127.0.0.1,4635.729474067688,1,"10_dropout=0.0151,hidden_size=185,output_size=5",185,0.015081384905918482,5
